name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
100 Racks A Month,1,6RoCzHyrBwJunkQ88xgtZA,32,2024,1,0.772,0.75,7,-3.933,0,0.0928,0.138,0,0.11,0.768,97.982,audio_features,6RoCzHyrBwJunkQ88xgtZA,spotify:track:6RoCzHyrBwJunkQ88xgtZA,https://api.spotify.com/v1/tracks/6RoCzHyrBwJunkQ88xgtZA,https://api.spotify.com/v1/audio-analysis/6RoCzHyrBwJunkQ88xgtZA,188632,4
1st Of The Month,3,4bRJEAQgyFfRDvv8QAVWsx,25,2024,1,0.739,0.636,10,-5.668,1,0.336,0.573,0,0.189,0.345,83.012,audio_features,4bRJEAQgyFfRDvv8QAVWsx,spotify:track:4bRJEAQgyFfRDvv8QAVWsx,https://api.spotify.com/v1/tracks/4bRJEAQgyFfRDvv8QAVWsx,https://api.spotify.com/v1/audio-analysis/4bRJEAQgyFfRDvv8QAVWsx,130638,4
HEART / 12 MONTHS,1,7I45SeQlzKtguX79DmchEe,29,2024,1,0.412,0.297,5,-11.309,0,0.0617,0.365,8.4e-05,0.137,0.171,92.944,audio_features,7I45SeQlzKtguX79DmchEe,spotify:track:7I45SeQlzKtguX79DmchEe,https://api.spotify.com/v1/tracks/7I45SeQlzKtguX79DmchEe,https://api.spotify.com/v1/audio-analysis/7I45SeQlzKtguX79DmchEe,165412,4
The 1st of the 13th month - LIVE TOUR 2023 Ver.,1,3jbEURlZt3i8uPjute7kO4,29,2024,0,0.451,0.66,2,-9.417,1,0.0406,0.00214,0,0.702,0.358,145.741,audio_features,3jbEURlZt3i8uPjute7kO4,spotify:track:3jbEURlZt3i8uPjute7kO4,https://api.spotify.com/v1/tracks/3jbEURlZt3i8uPjute7kO4,https://api.spotify.com/v1/audio-analysis/3jbEURlZt3i8uPjute7kO4,219888,4
1st of the Month,3,2kUqkADsDsfTBADuCD4lGZ,19,2024,1,0.739,0.636,10,-5.668,1,0.336,0.573,0,0.189,0.345,83.012,audio_features,2kUqkADsDsfTBADuCD4lGZ,spotify:track:2kUqkADsDsfTBADuCD4lGZ,https://api.spotify.com/v1/tracks/2kUqkADsDsfTBADuCD4lGZ,https://api.spotify.com/v1/audio-analysis/2kUqkADsDsfTBADuCD4lGZ,130638,4
11 Months,1,50BXGRNa9kHHYt7vd7do6y,15,2024,0,0.34,0.363,3,-14.174,0,0.0292,0.11,0.915,0.106,0.11,140.032,audio_features,50BXGRNa9kHHYt7vd7do6y,spotify:track:50BXGRNa9kHHYt7vd7do6y,https://api.spotify.com/v1/tracks/50BXGRNa9kHHYt7vd7do6y,https://api.spotify.com/v1/audio-analysis/50BXGRNa9kHHYt7vd7do6y,197500,4
Talk Money MEGA Mix (Prod. Wiz World),21,6DJpnE5UQZi7zIZIVYwnMe,28,2024,0,0.913,0.658,8,-4.916,1,0.142,0.0136,0,0.322,0.276,120.008,audio_features,6DJpnE5UQZi7zIZIVYwnMe,spotify:track:6DJpnE5UQZi7zIZIVYwnMe,https://api.spotify.com/v1/tracks/6DJpnE5UQZi7zIZIVYwnMe,https://api.spotify.com/v1/audio-analysis/6DJpnE5UQZi7zIZIVYwnMe,774613,4
WORK Remix (Prod. Jeffrey White),4,5qbIGzVIB229Lw7KdMqvB5,29,2024,0,0.888,0.632,2,-6.132,1,0.294,0.0231,0,0.21,0.407,96.005,audio_features,5qbIGzVIB229Lw7KdMqvB5,spotify:track:5qbIGzVIB229Lw7KdMqvB5,https://api.spotify.com/v1/tracks/5qbIGzVIB229Lw7KdMqvB5,https://api.spotify.com/v1/audio-analysis/5qbIGzVIB229Lw7KdMqvB5,155625,4
1990s,3,2IrJFh0gPAh1l4D1zwMYsX,5,2024,0,0.796,0.885,11,-4.687,0,0.252,0.0133,0,0.617,0.684,112.016,audio_features,2IrJFh0gPAh1l4D1zwMYsX,spotify:track:2IrJFh0gPAh1l4D1zwMYsX,https://api.spotify.com/v1/tracks/2IrJFh0gPAh1l4D1zwMYsX,https://api.spotify.com/v1/audio-analysis/2IrJFh0gPAh1l4D1zwMYsX,154358,4
You Don't Own Me - Single Version,1,7DRcWvgNE20X5AStsbvJu2,17,2024,0,0.468,0.574,2,-6.288,1,0.0255,0.762,1.11e-05,0.656,0.661,95.352,audio_features,7DRcWvgNE20X5AStsbvJu2,spotify:track:7DRcWvgNE20X5AStsbvJu2,https://api.spotify.com/v1/tracks/7DRcWvgNE20X5AStsbvJu2,https://api.spotify.com/v1/audio-analysis/7DRcWvgNE20X5AStsbvJu2,151800,3
1OFONE0REGRETS1LOVE7MONTHS,1,215dyLRHmiPdG1pD934RHo,5,2024,1,0.627,0.453,10,-11.82,0,0.295,0.26,0,0.161,0.568,150.011,audio_features,215dyLRHmiPdG1pD934RHo,spotify:track:215dyLRHmiPdG1pD934RHo,https://api.spotify.com/v1/tracks/215dyLRHmiPdG1pD934RHo,https://api.spotify.com/v1/audio-analysis/215dyLRHmiPdG1pD934RHo,210557,4
2024 Monthly Yoon Repair January - It’s been a while (with UJ),2,0aJ6bB5u1VblmJzuA4ZZfH,14,2024,0,0.468,0.444,5,-7.469,1,0.0297,0.609,2.92e-05,0.15,0.114,135.496,audio_features,0aJ6bB5u1VblmJzuA4ZZfH,spotify:track:0aJ6bB5u1VblmJzuA4ZZfH,https://api.spotify.com/v1/tracks/0aJ6bB5u1VblmJzuA4ZZfH,https://api.spotify.com/v1/audio-analysis/0aJ6bB5u1VblmJzuA4ZZfH,309760,4
Hard House,1,5A6oiTsyQbC9bDA61P1YNm,8,2024,0,0.797,0.973,11,-4.794,0,0.0421,0.00139,0.721,0.0698,0.197,131.029,audio_features,5A6oiTsyQbC9bDA61P1YNm,spotify:track:5A6oiTsyQbC9bDA61P1YNm,https://api.spotify.com/v1/tracks/5A6oiTsyQbC9bDA61P1YNm,https://api.spotify.com/v1/audio-analysis/5A6oiTsyQbC9bDA61P1YNm,340763,4
A Brief Chronicle of Birds in the Autumn and Winter Months of 1886 Pt II,1,71O1fJbHr9H374g7Adm75m,13,2024,0,0.642,0.767,1,-9.307,1,0.0886,0.425,0.00364,0.345,0.78,169.974,audio_features,71O1fJbHr9H374g7Adm75m,spotify:track:71O1fJbHr9H374g7Adm75m,https://api.spotify.com/v1/tracks/71O1fJbHr9H374g7Adm75m,https://api.spotify.com/v1/audio-analysis/71O1fJbHr9H374g7Adm75m,174360,4
