name,artist_count,track_id,popularity,year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13 Months of Sunshine,1,16ISIfafspiGHjPH7EZmJe,31,2021,0,0.674,0.438,7.0,-11.318,1.0,0.0269,0.0961,0.905,0.0897,0.343,95.989,audio_features,16ISIfafspiGHjPH7EZmJe,spotify:track:16ISIfafspiGHjPH7EZmJe,https://api.spotify.com/v1/tracks/16ISIfafspiGHjPH7EZmJe,https://api.spotify.com/v1/audio-analysis/16ISIfafspiGHjPH7EZmJe,147880.0,4.0
last month,1,4WkcNI7O0r4zpRH3yAr1o4,25,2021,1,0.443,0.891,3.0,-1.732,1.0,0.0414,0.269,0.00205,0.11,0.351,84.995,audio_features,4WkcNI7O0r4zpRH3yAr1o4,spotify:track:4WkcNI7O0r4zpRH3yAr1o4,https://api.spotify.com/v1/tracks/4WkcNI7O0r4zpRH3yAr1o4,https://api.spotify.com/v1/audio-analysis/4WkcNI7O0r4zpRH3yAr1o4,172235.0,4.0
10 Months,1,3ugvgq1Wz1UkPUG6syNm4A,16,2021,0,0.717,0.172,4.0,-20.044,1.0,0.0508,0.986,0.941,0.0946,0.42,110.014,audio_features,3ugvgq1Wz1UkPUG6syNm4A,spotify:track:3ugvgq1Wz1UkPUG6syNm4A,https://api.spotify.com/v1/tracks/3ugvgq1Wz1UkPUG6syNm4A,https://api.spotify.com/v1/audio-analysis/3ugvgq1Wz1UkPUG6syNm4A,194727.0,4.0
Stalwart,1,2IA1tq3kl9WRbJd1yXu9ft,19,2021,0,0.594,0.882,9.0,-7.49,0.0,0.0639,0.00378,0.000145,0.067,0.374,140.063,audio_features,2IA1tq3kl9WRbJd1yXu9ft,spotify:track:2IA1tq3kl9WRbJd1yXu9ft,https://api.spotify.com/v1/tracks/2IA1tq3kl9WRbJd1yXu9ft,https://api.spotify.com/v1/audio-analysis/2IA1tq3kl9WRbJd1yXu9ft,158589.0,4.0
1st of the Month,6,3j11qzNtAmaCmXd9BJRSZG,5,2021,1,0.626,0.46,8.0,-8.64,1.0,0.14,0.0231,0.0,0.182,0.0816,77.892,audio_features,3j11qzNtAmaCmXd9BJRSZG,spotify:track:3j11qzNtAmaCmXd9BJRSZG,https://api.spotify.com/v1/tracks/3j11qzNtAmaCmXd9BJRSZG,https://api.spotify.com/v1/audio-analysis/3j11qzNtAmaCmXd9BJRSZG,197808.0,4.0
13 Months,1,4tcJ6dgHHNWushIni8JB72,5,2021,1,0.637,0.28,5.0,-10.599,1.0,0.0462,0.708,1.21e-06,0.101,0.218,90.026,audio_features,4tcJ6dgHHNWushIni8JB72,spotify:track:4tcJ6dgHHNWushIni8JB72,https://api.spotify.com/v1/tracks/4tcJ6dgHHNWushIni8JB72,https://api.spotify.com/v1/audio-analysis/4tcJ6dgHHNWushIni8JB72,164389.0,4.0
Himejoshi,1,0ul4IOaIzLDFn3zoAWKa2Y,16,2021,0,0.823,0.529,0.0,-11.703,1.0,0.117,0.0865,0.0,0.0441,0.362,120.027,audio_features,0ul4IOaIzLDFn3zoAWKa2Y,spotify:track:0ul4IOaIzLDFn3zoAWKa2Y,https://api.spotify.com/v1/tracks/0ul4IOaIzLDFn3zoAWKa2Y,https://api.spotify.com/v1/audio-analysis/0ul4IOaIzLDFn3zoAWKa2Y,154201.0,4.0
10PM Call,1,0HsHRBL7n0Y5TQ7HyZQhWh,6,2021,0,0.196,0.225,7.0,-16.895,0.0,0.0438,0.849,0.963,0.37,0.116,116.487,audio_features,0HsHRBL7n0Y5TQ7HyZQhWh,spotify:track:0HsHRBL7n0Y5TQ7HyZQhWh,https://api.spotify.com/v1/tracks/0HsHRBL7n0Y5TQ7HyZQhWh,https://api.spotify.com/v1/audio-analysis/0HsHRBL7n0Y5TQ7HyZQhWh,93701.0,4.0
Claim Me,1,3jfYFhqcDHmhiNzMM6BudU,15,2021,0,0.689,0.804,7.0,-8.443,1.0,0.0526,0.00416,0.00121,0.103,0.493,134.987,audio_features,3jfYFhqcDHmhiNzMM6BudU,spotify:track:3jfYFhqcDHmhiNzMM6BudU,https://api.spotify.com/v1/tracks/3jfYFhqcDHmhiNzMM6BudU,https://api.spotify.com/v1/audio-analysis/3jfYFhqcDHmhiNzMM6BudU,136202.0,4.0
Kitty,1,2P3IctUtekokaNgPf3YKEo,15,2021,0,0.453,0.731,7.0,-8.678,0.0,0.0499,0.0249,0.0,0.111,0.615,161.912,audio_features,2P3IctUtekokaNgPf3YKEo,spotify:track:2P3IctUtekokaNgPf3YKEo,https://api.spotify.com/v1/tracks/2P3IctUtekokaNgPf3YKEo,https://api.spotify.com/v1/audio-analysis/2P3IctUtekokaNgPf3YKEo,158328.0,4.0
For You,1,576oWgBBqy4UB4fydwDn0L,14,2021,0,0.6,0.666,8.0,-13.321,1.0,0.0592,0.132,3.38e-05,0.164,0.148,139.987,audio_features,576oWgBBqy4UB4fydwDn0L,spotify:track:576oWgBBqy4UB4fydwDn0L,https://api.spotify.com/v1/tracks/576oWgBBqy4UB4fydwDn0L,https://api.spotify.com/v1/audio-analysis/576oWgBBqy4UB4fydwDn0L,152085.0,4.0
Better off with me,1,03NqHx6vEpvAWG2JqyOSot,13,2021,0,0.556,0.885,8.0,-10.045,0.0,0.0479,0.00882,0.0112,0.283,0.374,130.004,audio_features,03NqHx6vEpvAWG2JqyOSot,spotify:track:03NqHx6vEpvAWG2JqyOSot,https://api.spotify.com/v1/tracks/03NqHx6vEpvAWG2JqyOSot,https://api.spotify.com/v1/audio-analysis/03NqHx6vEpvAWG2JqyOSot,140931.0,4.0
Mechanical Heart,1,0U7t1pWSyJQm0snG5YPFHL,12,2021,0,0.544,0.605,5.0,-12.275,1.0,0.0454,0.225,5.65e-06,0.0859,0.428,159.984,audio_features,0U7t1pWSyJQm0snG5YPFHL,spotify:track:0U7t1pWSyJQm0snG5YPFHL,https://api.spotify.com/v1/tracks/0U7t1pWSyJQm0snG5YPFHL,https://api.spotify.com/v1/audio-analysis/0U7t1pWSyJQm0snG5YPFHL,160470.0,4.0
Prometheum Laced with Love,1,3Ky171XZ9AM5gn3s3J5O7M,13,2021,0,0.521,0.854,1.0,-9.503,1.0,0.0957,0.0861,0.0,0.152,0.653,75.048,audio_features,3Ky171XZ9AM5gn3s3J5O7M,spotify:track:3Ky171XZ9AM5gn3s3J5O7M,https://api.spotify.com/v1/tracks/3Ky171XZ9AM5gn3s3J5O7M,https://api.spotify.com/v1/audio-analysis/3Ky171XZ9AM5gn3s3J5O7M,141949.0,4.0
12 months,1,6zXSlKeH67nqDlFdyM2GzH,8,2021,0,0.47,0.319,10.0,-10.847,1.0,0.088,0.842,1.06e-05,0.0809,0.546,91.176,audio_features,6zXSlKeH67nqDlFdyM2GzH,spotify:track:6zXSlKeH67nqDlFdyM2GzH,https://api.spotify.com/v1/tracks/6zXSlKeH67nqDlFdyM2GzH,https://api.spotify.com/v1/audio-analysis/6zXSlKeH67nqDlFdyM2GzH,206250.0,4.0
十九月,1,62kBfJqRU8cslbKO15UqCO,21,2021,0,0.513,0.679,8.0,-6.287,1.0,0.355,0.0615,0.0267,0.0968,0.381,180.173,audio_features,62kBfJqRU8cslbKO15UqCO,spotify:track:62kBfJqRU8cslbKO15UqCO,https://api.spotify.com/v1/tracks/62kBfJqRU8cslbKO15UqCO,https://api.spotify.com/v1/audio-analysis/62kBfJqRU8cslbKO15UqCO,247387.0,4.0
TMA-1,1,4zKPhfqN3GUu7ifIS7fUhk,3,2021,0,0.671,0.617,11.0,-9.326,0.0,0.0247,0.358,0.697,0.115,0.348,99.086,audio_features,4zKPhfqN3GUu7ifIS7fUhk,spotify:track:4zKPhfqN3GUu7ifIS7fUhk,https://api.spotify.com/v1/tracks/4zKPhfqN3GUu7ifIS7fUhk,https://api.spotify.com/v1/audio-analysis/4zKPhfqN3GUu7ifIS7fUhk,169547.0,4.0
Two Months Off - r18 DAT July 2001b id 1 R89,1,5HYJ52HWfSCVqmtNJZcWu4,14,2021,0,0.593,0.875,1.0,-9.02,1.0,0.0723,0.00129,0.871,0.0622,0.621,135.001,audio_features,5HYJ52HWfSCVqmtNJZcWu4,spotify:track:5HYJ52HWfSCVqmtNJZcWu4,https://api.spotify.com/v1/tracks/5HYJ52HWfSCVqmtNJZcWu4,https://api.spotify.com/v1/audio-analysis/5HYJ52HWfSCVqmtNJZcWu4,602240.0,4.0
